average_intra_cv,lower,upper,assay,xponent_id
10.86693566129526,2.4449304878826412,48.300060575136925,AFP,Standard1
54.13543269010984,11.949348841200012,245.25562953195225,CA15-3,Standard1
4.384369637945616,0.8359288901024908,22.995612844272596,CCL20,Standard1
9.569072906792664,1.4568089203612313,62.85460983641449,EGF,Standard1
6.386648754107432,0.9429761575045504,43.25589993312761,FLT3L,Standard1
7.975159344838968,1.4020212673242853,45.365336502317845,HGF,Standard1
5.067800245899917,1.7549677634622154,14.634228540857306,IL-1 R2,Standard1
6.271747157495375,0.9300079675006567,42.29513486132961,IL-6,Standard1
7.915901633223958,1.245572016747917,50.307407218798616,IL-8,Standard1
8.316367052783479,0.9639175146605363,71.7509121939541,KLK3,Standard1
3.4029504954918437,0.5614622385157924,20.62484576946749,MUC-16,Standard1
8.389904923217578,1.3244430031998367,53.14725092024952,OPN,Standard1
3.3920254808547354,0.6920349231180919,16.62609281468934,CEA,Standard1
7.079235575713997,1.3858868709222845,36.16137607473229,IL-6Ra,Standard1
4.325962459695337,0.39699541346037664,47.1389607239408,MIF,Standard1
4.960834961219392,0.8193469426802337,30.035974055084864,THBS2,Standard1
7.92582587207601,1.103564749182131,56.92345265742259,TNC,Standard1
9.90821032737844,2.6119148241042294,37.586459935667165,WFDC2,Standard1
7.284283149279484,2.229527814315179,23.79911147920582,cMET,Standard1
5.084897023182807,0.640114245037388,40.3930672326518,uPAR,Standard1
4.206040435255141,1.798614853592065,9.835777852979756,AFP,Standard2
8.569302057315689,2.6101194926805453,28.133937145575125,CA15-3,Standard2
5.748205492864483,1.3281255245884271,24.87857192446983,CCL20,Standard2
2.9866896625849804,0.9359982109381847,9.530269434650767,EGF,Standard2
11.345901001990901,1.7450459488592993,73.76852720189167,FLT3L,Standard2
6.850082009829397,1.5125679426314642,31.022489779701257,HGF,Standard2
3.7305565013761086,1.6491313171919222,8.439019782643493,IL-1 R2,Standard2
4.213533244909843,0.9717889294104015,18.269257725267554,IL-6,Standard2
6.6936094842976335,1.822309581480916,24.586606130813692,IL-8,Standard2
8.09561720233942,1.563480223518077,41.918674058659235,KLK3,Standard2
2.56484580028309,0.8480174298877098,7.757427792611397,MUC-16,Standard2
5.619053231198119,1.121619441837174,28.150153284897854,OPN,Standard2
2.9036996547078386,0.8704035160074318,9.686853889820949,CEA,Standard2
6.424526108346455,0.9956178114451314,41.45620462224916,IL-6Ra,Standard2
2.4912043894531553,1.1619476608747548,5.341117779228111,MIF,Standard2
4.303891213314804,0.9483796898822534,19.531712639637167,THBS2,Standard2
3.8594705277216885,1.1505988732624226,12.945878099217499,TNC,Standard2
3.5482502109549148,1.2594490287875146,9.996497890559498,WFDC2,Standard2
3.894978894667243,1.3075221092053775,11.602756452908523,cMET,Standard2
2.576336855812913,0.8020363707686313,8.275823686473107,uPAR,Standard2
3.9648216122786377,1.2814268463875604,12.267427096214755,AFP,Standard3
4.709980832626739,1.3054465989913384,16.99335649642951,CA15-3,Standard3
9.818566926499061,1.927617312913376,50.0121345893273,CCL20,Standard3
3.222907177552566,1.1199481420821802,9.27465324939809,EGF,Standard3
12.36064498114182,1.858455148289404,82.21104743391648,FLT3L,Standard3
4.168449116514313,1.6088652281592055,10.800138963068893,HGF,Standard3
4.759747170679815,1.6793974366931332,13.490072471114622,IL-1 R2,Standard3
4.927764363493154,1.8392672987454601,13.202464719878453,IL-6,Standard3
7.983327131100151,1.9493405144647444,32.69490969342515,IL-8,Standard3
11.389396901162113,2.3817161775254814,54.46424011234366,KLK3,Standard3
4.068655949629185,1.1429381143995139,14.483689911023937,MUC-16,Standard3
6.412765511416797,1.6075819648278054,25.581004517440984,OPN,Standard3
3.554327427837038,1.2705254967561903,9.943321481173653,CEA,Standard3
7.445639453972038,1.1471326999896019,48.32705656376769,IL-6Ra,Standard3
2.9798077821695137,1.0687407208520365,8.308146443226333,MIF,Standard3
5.005997191475303,1.4617053050610127,17.14436404813663,THBS2,Standard3
8.631450098551815,1.4892907738326535,50.02510732814199,TNC,Standard3
3.679838432940344,1.1925290563880542,11.355036441257562,WFDC2,Standard3
4.64494317982566,1.580917490591473,13.647452996257764,cMET,Standard3
4.201402892533692,0.8495468427199381,20.77788460595759,uPAR,Standard3
4.104238419348109,2.052616518755939,8.20648808432197,AFP,Standard4
4.706602313575638,1.7074373665103668,12.973890446962434,CA15-3,Standard4
8.768638652758195,1.9278164124103632,39.883996903268475,CCL20,Standard4
3.9393023852183675,1.4638120936934105,10.601157996333184,EGF,Standard4
15.412485146476419,3.733037117027636,63.63309309378018,FLT3L,Standard4
3.5529312069466266,0.873333987514165,14.454172563724331,HGF,Standard4
4.616294461735495,1.2673528185756189,16.814713507640565,IL-1 R2,Standard4
4.618635895449454,1.2743051370919505,16.739944706975574,IL-6,Standard4
9.072093695441906,2.8262566674613985,29.120810210348978,IL-8,Standard4
12.815689642745632,2.3622180431134074,69.52867941128187,KLK3,Standard4
3.8111958839823328,1.07122613861062,13.559428343415027,MUC-16,Standard4
7.905450442586652,2.3268154662401304,26.85909029184002,OPN,Standard4
4.038767020272567,1.4217077941790333,11.473271167835529,CEA,Standard4
7.921010813796989,1.5582764603177812,40.2639800510711,IL-6Ra,Standard4
3.3814228124419667,1.4322159179045313,7.983447253701805,MIF,Standard4
5.659527668094023,1.8485629341063257,17.32711006747875,THBS2,Standard4
8.173383860721282,2.0532298282073316,32.53615489943746,TNC,Standard4
3.7425412888526624,0.7568422521988443,18.506650835195448,WFDC2,Standard4
3.8862094224735064,1.1126462571991518,13.573607584264456,cMET,Standard4
5.480605676827367,1.2061408041139168,24.903426268659306,uPAR,Standard4
5.065986144657171,1.869843479658196,13.725328294617368,AFP,Standard5
4.9670861685859,1.7665839025216528,13.96590615987171,CA15-3,Standard5
10.373658352271654,2.898227611756336,37.13055081427566,CCL20,Standard5
5.911751821029714,2.09437719274034,16.686970100032546,EGF,Standard5
12.44580389793037,2.9122581888391355,53.188290536658485,FLT3L,Standard5
6.010976127491703,2.352341688606053,15.35994289447214,HGF,Standard5
6.484391819021579,2.320799293525501,18.117610333602066,IL-1 R2,Standard5
5.348652277711594,1.9646671319519282,14.561286603011895,IL-6,Standard5
8.974995637714043,2.344680268332924,34.35459741991084,IL-8,Standard5
10.681212678661414,2.644512464246668,43.141526398249454,KLK3,Standard5
6.08537466796649,2.430183662350139,15.238265906913487,MUC-16,Standard5
9.36901228367103,3.374533854374887,26.012004904849032,OPN,Standard5
6.483123001470131,1.5870144026082451,26.484248525478815,CEA,Standard5
7.114587631305999,1.21332482408884,41.71789463019023,IL-6Ra,Standard5
8.201681827918412,1.8402512039376366,36.55347958065332,MIF,Standard5
7.353136141438351,2.582460477994769,20.936859082741947,THBS2,Standard5
9.491716239837027,2.3245255744380455,38.757447183331536,TNC,Standard5
4.705586392212893,1.6348188818105953,13.544340318638737,WFDC2,Standard5
4.426573908988122,1.4043420721329112,13.952837389521646,cMET,Standard5
8.17263782157168,2.8105420944455743,23.764813590440014,uPAR,Standard5
7.726316191422887,2.2954799499408076,26.00587380054564,AFP,Standard6
7.031180533693724,2.301816584596362,21.47760165958781,CA15-3,Standard6
25.1971390494314,11.402168837229924,55.682022020525004,CCL20,Standard6
12.671541055495105,4.860901728636192,33.03254451230143,EGF,Standard6
26.57766907438951,11.408846503722382,61.914453244444246,FLT3L,Standard6
19.881950612894816,8.590774577138397,46.013541226600445,HGF,Standard6
12.237593061459249,4.672987912728109,32.04773620962478,IL-1 R2,Standard6
9.23806686842133,3.037643740589087,28.094762504596286,IL-6,Standard6
11.179709538504254,4.332004492890558,28.851748785220053,IL-8,Standard6
12.459444142062392,3.9432505315250856,39.367964852371,KLK3,Standard6
11.706368947062114,4.9464397203226405,27.704587879987656,MUC-16,Standard6
20.611960639980264,9.951457687478724,42.69253156335686,OPN,Standard6
16.83203838706935,4.657973950935667,60.82419507882071,CEA,Standard6
13.496466607272758,2.7397842559202363,66.48501993820192,IL-6Ra,Standard6
33.03690482262754,12.682959238016133,86.05539604573177,MIF,Standard6
15.480820081062623,5.470794374161381,43.806397022364536,THBS2,Standard6
28.636390630224795,11.103884488987822,73.85189112333586,TNC,Standard6
14.773338350050931,3.7944231362264618,57.51902678469746,WFDC2,Standard6
7.527925444178319,1.37689632717102,41.15753697269365,cMET,Standard6
18.07824489166209,2.5139139496799556,130.0056186905339,uPAR,Standard6
